gene_name	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
CACNA1C	0	0	0	0	3	2	0	0	0	5	4	4
CACNA1H	0	0	0	0	5	0	0	0	0	5	4	4
ADGRB3	0	0	0	0	4	0	0	0	0	4	4	4
ARMCX5-GPRASP2	0	0	0	0	2	2	0	0	0	4	4	4
ASB16	0	0	0	0	4	0	0	0	0	4	4	4
ASB2	0	0	0	0	4	0	0	0	0	4	4	4
BRINP1	0	0	0	0	3	1	0	0	0	4	4	4
CARMIL2	0	0	0	0	4	0	0	0	0	4	4	4
CRB1	0	0	0	0	4	0	0	0	0	4	4	4
CUX2	3	0	0	0	1	0	0	0	0	4	4	4
ELP2	0	0	0	0	4	0	0	0	0	4	4	4
FBXL17	0	0	1	0	3	0	0	0	0	4	4	4
FHOD3	0	0	0	0	4	0	0	0	0	4	4	4
FOXG1	0	0	0	0	4	0	0	0	0	4	4	4
FZD9	3	0	0	0	1	0	0	0	0	4	4	4
IARS2	0	0	0	0	4	0	0	0	0	4	4	4
IFNAR2	0	0	0	0	1	3	0	0	0	4	4	4
LRWD1	0	0	0	0	4	0	0	0	0	4	4	4
NRXN1	0	0	0	0	4	0	0	0	0	4	4	4
OR2A7	0	0	0	0	4	0	0	0	0	4	4	4
OR5D16	1	0	0	0	3	0	0	0	0	4	4	4
PCDHB8	0	0	0	0	4	0	0	0	0	4	4	4
PDZRN3	0	0	0	0	4	0	0	0	0	4	4	4
PTPRU	0	0	0	0	4	0	0	0	0	4	4	4
RBM19	0	0	0	0	2	2	0	0	0	4	4	4
SERPINA6	0	0	0	0	4	0	0	0	0	4	4	4
SFI1	0	0	0	0	4	0	0	0	0	4	4	4
SGSM1	0	0	0	0	4	0	0	0	0	4	4	4
SLITRK3	0	0	0	0	4	0	0	0	0	4	4	4
SPOCK1	0	0	0	0	4	0	0	0	0	4	4	4
SREBF2	0	0	1	0	3	0	0	0	0	4	4	4
SSC5D	0	0	0	0	4	0	0	0	0	4	4	4
SYNE1	0	0	0	0	4	0	0	0	0	4	4	4
TRIM5	0	0	0	0	4	0	0	0	0	4	4	4
TRIOBP	0	0	0	0	1	3	0	0	0	4	4	4
ULK2	3	0	0	0	1	0	0	0	0	4	4	4
UNC13B	0	0	0	0	4	0	0	0	0	4	4	4
UNC80	0	0	0	0	4	0	0	0	0	4	4	4
XYLT1	0	0	0	0	4	0	0	0	0	4	4	4
ZC3H4	0	0	1	0	3	0	0	0	0	4	4	4
ZNF292	0	0	0	0	1	3	0	0	0	4	4	4
GREB1L	0	0	0	0	7	0	0	0	0	7	3	3
LRFN2	0	0	0	0	6	0	0	0	0	6	3	3
OR5D14	0	0	0	0	6	0	0	0	0	6	3	3
ROBO1	0	0	0	0	6	0	0	0	0	6	3	3
SEMA3E	0	0	0	0	6	0	0	0	0	6	3	3
ADGRG4	0	0	0	0	5	0	0	0	0	5	3	3
CNTNAP4	0	0	0	0	5	0	0	0	0	5	3	3
FNDC1	2	0	0	0	0	3	0	0	0	5	3	3
OTOF	0	0	0	0	5	0	0	0	0	5	3	3
ZNF407	0	0	0	0	3	2	0	0	0	5	3	3
CSMD1	0	0	0	0	4	0	0	0	0	4	3	3
DMD	0	0	0	0	4	0	0	0	0	4	3	3
DNAH3	0	0	0	0	4	0	0	0	0	4	3	3
DYNC1H1	1	0	0	0	3	0	0	0	0	4	3	3
HEATR3	0	0	0	0	4	0	0	0	0	4	3	3
JMJD1C	0	1	0	0	3	0	0	0	0	4	3	3
KMT2A	0	0	0	0	4	0	0	0	0	4	3	3
MUC4	0	0	1	0	3	0	0	0	0	4	3	3
NLRP13	0	0	0	0	4	0	0	0	0	4	3	3
NR1H4	0	0	0	0	4	0	0	0	0	4	3	3
PRDM9	0	0	0	0	4	0	0	0	0	4	3	3
PTPN3	0	0	0	0	1	3	0	0	0	4	3	3
RYR2	0	0	0	0	3	1	0	0	0	4	3	3
SLC12A9	0	0	0	0	3	1	0	0	0	4	3	3
TRPM5	0	0	0	0	4	0	0	0	0	4	3	3
AAK1	0	0	0	0	3	0	0	0	0	3	3	3
ABCA3	3	0	0	0	0	0	0	0	0	3	3	3
ABCA4	0	0	0	0	2	1	0	0	0	3	3	3
ADAM22	0	0	0	0	3	0	0	0	0	3	3	3
ADAMDEC1	0	0	0	0	3	0	0	0	0	3	3	3
ADAMTS6	0	0	0	0	3	0	0	0	0	3	3	3
ADCY7	0	0	0	0	3	0	0	0	0	3	3	3
ADD2	0	0	0	0	3	0	0	0	0	3	3	3
AEBP1	0	0	0	0	3	0	0	0	0	3	3	3
AFAP1L1	0	0	0	0	3	0	0	0	0	3	3	3
AMBN	0	0	0	0	3	0	0	0	0	3	3	3
AMD1	0	0	0	0	3	0	0	0	0	3	3	3
AMER1	0	0	0	0	3	0	0	0	0	3	3	3
ANK3	0	1	0	0	0	2	0	0	0	3	3	3
ANKEF1	0	0	0	0	3	0	0	0	0	3	3	3
ANKRD26	0	0	0	0	3	0	0	0	0	3	3	3
ANKRD30A	0	0	0	0	3	0	0	0	0	3	3	3
ANKRD44	0	0	0	0	3	0	0	0	0	3	3	3
ANKS1B	0	0	0	0	3	0	0	0	0	3	3	3
ANXA13	0	0	0	0	3	0	0	0	0	3	3	3
APOBEC3F	0	0	0	0	3	0	0	0	0	3	3	3
APOH	0	0	0	0	3	0	0	0	0	3	3	3
ARHGAP28	0	0	0	0	3	0	0	0	0	3	3	3
ARHGEF2	0	0	0	0	3	0	0	0	0	3	3	3
ARHGEF9	0	0	0	0	3	0	0	0	0	3	3	3
ARID1A	0	0	0	0	0	3	0	0	0	3	3	3
ASH1L	0	0	0	0	3	0	0	0	0	3	3	3
ASIC2	0	0	0	0	3	0	0	0	0	3	3	3
ASXL3	0	0	0	0	3	0	0	0	0	3	3	3
ATP10B	0	0	0	0	1	2	0	0	0	3	3	3
B3GALT1	0	0	0	0	3	0	0	0	0	3	3	3
BCL11B	0	0	0	0	3	0	0	0	0	3	3	3
BDH1	0	0	0	0	3	0	0	0	0	3	3	3
BRINP2	0	0	0	0	3	0	0	0	0	3	3	3
C7	0	0	0	0	2	1	0	0	0	3	3	3
CACNB2	0	0	0	0	3	0	0	0	0	3	3	3
CADM2	0	0	0	0	3	0	0	0	0	3	3	3
CADM3	0	0	0	0	0	3	0	0	0	3	3	3
CAPN15	0	3	0	0	0	0	0	0	0	3	3	3
CAPZA3	0	0	0	0	3	0	0	0	0	3	3	3
CASR	0	0	0	0	3	0	0	0	0	3	3	3
CATSPER1	0	0	0	0	3	0	0	0	0	3	3	3
CCDC93	0	3	0	0	0	0	0	0	0	3	3	3
CD300LB	0	0	0	0	3	0	0	0	0	3	3	3
CDH9	0	0	0	0	3	0	0	0	0	3	3	3
CEBPD	0	0	0	0	3	0	0	0	0	3	3	3
CELSR1	0	0	0	0	3	0	0	0	0	3	3	3
CENPE	0	0	0	0	3	0	0	0	0	3	3	3
CERS4	0	0	0	0	3	0	0	0	0	3	3	3
CHD9	0	0	0	0	3	0	0	0	0	3	3	3
CHRNA7	0	0	0	0	3	0	0	0	0	3	3	3
CIB2	0	0	0	0	3	0	0	0	0	3	3	3
CILP2	0	0	0	0	3	0	0	0	0	3	3	3
CLEC1B	0	0	0	0	3	0	0	0	0	3	3	3
CLK1	0	0	0	0	3	0	0	0	0	3	3	3
COL11A1	0	0	0	0	3	0	0	0	0	3	3	3
COL28A1	0	0	0	0	0	3	0	0	0	3	3	3
COL4A2	0	0	0	0	3	0	0	0	0	3	3	3
COL5A2	0	0	0	0	3	0	0	0	0	3	3	3
CR1L	0	0	0	0	3	0	0	0	0	3	3	3
CSPG5	0	0	0	0	3	0	0	0	0	3	3	3
CTNND2	0	0	0	0	2	1	0	0	0	3	3	3
CWF19L2	0	0	0	0	3	0	0	0	0	3	3	3
CYP2E1	0	0	0	0	0	3	0	0	0	3	3	3
DCC	0	0	0	0	3	0	0	0	0	3	3	3
DCHS1	0	0	0	0	1	2	0	0	0	3	3	3
DDX60L	0	0	0	0	3	0	0	0	0	3	3	3
DIPK1C	0	0	0	0	3	0	0	0	0	3	3	3
DLC1	0	0	0	0	3	0	0	0	0	3	3	3
DNAH5	0	0	0	0	3	0	0	0	0	3	3	3
DNAJC21	0	0	0	0	3	0	0	0	0	3	3	3
DNER	0	0	0	0	3	0	0	0	0	3	3	3
DPYSL3	0	1	0	0	2	0	0	0	0	3	3	3
DSTYK	0	0	0	0	3	0	0	0	0	3	3	3
ECPAS	0	0	0	0	3	0	0	0	0	3	3	3
EIF4ENIF1	0	0	0	0	3	0	0	0	0	3	3	3
EMILIN1	0	0	0	0	3	0	0	0	0	3	3	3
FAM135B	0	0	0	0	3	0	0	0	0	3	3	3
FAM98B	0	0	0	0	3	0	0	0	0	3	3	3
FBN1	0	0	0	0	3	0	0	0	0	3	3	3
FBXL20	0	0	0	0	3	0	0	0	0	3	3	3
FBXO10	0	0	0	0	3	0	0	0	0	3	3	3
FGF14	0	0	0	0	3	0	0	0	0	3	3	3
FLG	0	0	0	0	3	0	0	0	0	3	3	3
FMOD	0	0	0	0	3	0	0	0	0	3	3	3
FOXD3	0	0	0	0	3	0	0	0	0	3	3	3
FOXL1	0	0	0	0	3	0	0	0	0	3	3	3
FOXP1	0	0	0	0	3	0	0	0	0	3	3	3
FUT3	0	0	0	0	3	0	0	0	0	3	3	3
GANAB	0	0	0	0	3	0	0	0	0	3	3	3
GATA2	0	0	0	0	3	0	0	0	0	3	3	3
GGA2	3	0	0	0	0	0	0	0	0	3	3	3
GGT5	3	0	0	0	0	0	0	0	0	3	3	3
GMNC	3	0	0	0	0	0	0	0	0	3	3	3
GPR141	0	2	0	0	1	0	0	0	0	3	3	3
GSTM4	0	0	0	0	3	0	0	0	0	3	3	3
HAUS4	0	0	0	0	3	0	0	0	0	3	3	3
HCN1	0	0	0	0	3	0	0	0	0	3	3	3
HDAC4	0	0	0	0	3	0	0	0	0	3	3	3
HNRNPAB	0	0	0	0	3	0	0	0	0	3	3	3
HOXD3	0	0	0	0	3	0	0	0	0	3	3	3
HYOU1	0	0	0	0	3	0	0	0	0	3	3	3
INO80D	0	0	0	0	3	0	0	0	0	3	3	3
INPP4B	0	0	0	0	3	0	0	0	0	3	3	3
INTS3	0	0	0	0	3	0	0	0	0	3	3	3
IRX1	0	0	0	0	3	0	0	0	0	3	3	3
JAK2	0	0	0	0	3	0	0	0	0	3	3	3
KALRN	0	0	0	0	3	0	0	0	0	3	3	3
KCNH7	0	0	0	0	3	0	0	0	0	3	3	3
KIAA0586	0	0	0	0	3	0	0	0	0	3	3	3
KIF1A	0	0	0	0	3	0	0	0	0	3	3	3
KIF2B	0	0	0	0	3	0	0	0	0	3	3	3
KIF4B	0	0	0	0	3	0	0	0	0	3	3	3
KMT2D	0	1	0	0	2	0	0	0	0	3	3	3
KPNA7	0	0	0	0	3	0	0	0	0	3	3	3
LAMB1	0	0	0	0	3	0	0	0	0	3	3	3
LBX2	0	0	0	0	3	0	0	0	0	3	3	3
LENG9	0	0	0	0	3	0	0	0	0	3	3	3
LGALS4	0	0	0	0	3	0	0	0	0	3	3	3
LGALS8	0	0	0	0	3	0	0	0	0	3	3	3
LRP1B	0	0	0	0	3	0	0	0	0	3	3	3
LRRC57	0	0	0	0	3	0	0	0	0	3	3	3
LRRTM3	0	0	0	0	3	0	0	0	0	3	3	3
MAEL	2	0	0	0	1	0	0	0	0	3	3	3
MAGEB10	0	0	0	0	3	0	0	0	0	3	3	3
MALRD1	0	0	0	0	3	0	0	0	0	3	3	3
MAP2	0	0	0	0	3	0	0	0	0	3	3	3
MARCHF6	0	0	0	0	3	0	0	0	0	3	3	3
MATN4	0	0	0	0	3	0	0	0	0	3	3	3
MBNL3	0	0	0	0	3	0	0	0	0	3	3	3
MDGA2	0	0	0	0	3	0	0	0	0	3	3	3
MFSD2A	0	0	0	0	3	0	0	0	0	3	3	3
MGAM2	0	0	0	0	3	0	0	0	0	3	3	3
MIP	0	0	0	0	0	0	3	0	0	3	3	3
MKI67	0	0	0	0	3	0	0	0	0	3	3	3
MMS22L	3	0	0	0	0	0	0	0	0	3	3	3
MNS1	0	0	0	0	3	0	0	0	0	3	3	3
MOG	0	0	0	0	3	0	0	0	0	3	3	3
MRAP2	0	0	0	0	3	0	0	0	0	3	3	3
MROH9	0	0	0	0	3	0	0	0	0	3	3	3
MUC12	0	0	0	0	3	0	0	0	0	3	3	3
MYH8	0	0	0	0	0	3	0	0	0	3	3	3
MYO7B	0	0	0	0	3	0	0	0	0	3	3	3
NAV3	0	0	0	0	3	0	0	0	0	3	3	3
NCOA6	0	0	0	0	3	0	0	0	0	3	3	3
NEU4	0	0	0	0	3	0	0	0	0	3	3	3
NFASC	0	0	0	0	3	0	0	0	0	3	3	3
NLGN1	0	0	0	0	3	0	0	0	0	3	3	3
NOTCH1	0	0	0	0	2	1	0	0	0	3	3	3
NPEPPS	0	0	0	0	3	0	0	0	0	3	3	3
NSF	0	0	0	0	2	1	0	0	0	3	3	3
NTN1	0	0	0	0	3	0	0	0	0	3	3	3
NTSR2	0	0	0	0	3	0	0	0	0	3	3	3
NWD1	0	0	0	0	3	0	0	0	0	3	3	3
NXF1	0	0	0	0	3	0	0	0	0	3	3	3
NYX	0	0	0	0	3	0	0	0	0	3	3	3
OLFM2	0	0	0	0	3	0	0	0	0	3	3	3
OR10G9	0	0	0	0	3	0	0	0	0	3	3	3
OR2W1	0	0	0	0	3	0	0	0	0	3	3	3
OR4K1	0	0	0	0	3	0	0	0	0	3	3	3
OR52H1	0	0	0	0	3	0	0	0	0	3	3	3
OR5I1	0	0	0	0	3	0	0	0	0	3	3	3
OR6P1	0	0	0	0	3	0	0	0	0	3	3	3
OR7C1	0	0	0	0	3	0	0	0	0	3	3	3
PAX1	0	0	0	0	3	0	0	0	0	3	3	3
PCDHA8	0	0	0	0	3	0	0	0	0	3	3	3
PCED1A	0	0	0	0	1	2	0	0	0	3	3	3
PCSK5	0	0	0	0	3	0	0	0	0	3	3	3
PCTP	0	0	0	0	3	0	0	0	0	3	3	3
PDE10A	0	0	0	0	3	0	0	0	0	3	3	3
PIP5K1B	0	0	0	0	0	3	0	0	0	3	3	3
PLD5	0	0	0	0	3	0	0	0	0	3	3	3
PLEKHA4	0	0	0	0	3	0	0	0	0	3	3	3
POLH	0	0	1	0	2	0	0	0	0	3	3	3
POLR3D	0	0	0	0	3	0	0	0	0	3	3	3
PORCN	0	0	0	0	3	0	0	0	0	3	3	3
PPFIA4	0	0	0	1	1	1	0	0	0	3	3	3
PPM1K	0	0	0	0	3	0	0	0	0	3	3	3
PPP1R26	0	0	0	0	3	0	0	0	0	3	3	3
PROS1	0	0	0	0	3	0	0	0	0	3	3	3
PRRC2A	0	0	0	0	2	1	0	0	0	3	3	3
PRRX1	0	0	0	0	0	0	0	0	3	3	3	3
PRSS33	0	0	0	0	3	0	0	0	0	3	3	3
PSMC3	0	0	0	0	3	0	0	0	0	3	3	3
PTCH1	0	0	0	0	3	0	0	0	0	3	3	3
PTGS1	0	0	0	0	3	0	0	0	0	3	3	3
PUSL1	0	0	0	0	3	0	0	0	0	3	3	3
RANBP10	0	0	0	0	3	0	0	0	0	3	3	3
RAPSN	2	0	0	0	1	0	0	0	0	3	3	3
RARG	0	0	0	0	3	0	0	0	0	3	3	3
RNF25	0	0	0	0	3	0	0	0	0	3	3	3
ROCK1	0	0	0	0	0	3	0	0	0	3	3	3
ROS1	0	0	0	0	3	0	0	0	0	3	3	3
RPS6KB1	0	0	0	0	3	0	0	0	0	3	3	3
RSPO3	0	0	0	0	3	0	0	0	0	3	3	3
RTP3	0	0	0	0	3	0	0	0	0	3	3	3
RXRG	0	0	0	0	3	0	0	0	0	3	3	3
SATB2	0	3	0	0	0	0	0	0	0	3	3	3
SCIN	0	0	0	0	0	3	0	0	0	3	3	3
SERPINI2	0	0	0	0	3	0	0	0	0	3	3	3
SIK3	0	0	0	0	3	0	0	0	0	3	3	3
SIX6	0	0	0	0	3	0	0	0	0	3	3	3
SKOR1	0	0	0	0	3	0	0	0	0	3	3	3
SLC6A15	0	0	0	0	3	0	0	0	0	3	3	3
SLFN11	0	0	0	0	3	0	0	0	0	3	3	3
SLFN13	0	0	0	0	3	0	0	0	0	3	3	3
SLITRK2	0	0	0	0	3	0	0	0	0	3	3	3
SMYD1	0	0	0	0	3	0	0	0	0	3	3	3
SPAG9	0	0	0	0	3	0	0	0	0	3	3	3
SPTLC2	0	0	0	0	3	0	0	0	0	3	3	3
SRBD1	0	0	0	0	3	0	0	0	0	3	3	3
SSTR3	0	0	0	0	3	0	0	0	0	3	3	3
STAMBP	0	0	0	0	3	0	0	0	0	3	3	3
STXBP2	0	0	0	0	3	0	0	0	0	3	3	3
SUSD5	0	0	0	0	3	0	0	0	0	3	3	3
SYT11	0	0	0	0	3	0	0	0	0	3	3	3
TAB3	0	0	0	0	3	0	0	0	0	3	3	3
TACR2	0	0	0	0	3	0	0	0	0	3	3	3
TAF4	0	0	0	0	3	0	0	0	0	3	3	3
TAF7L	0	0	0	0	3	0	0	0	0	3	3	3
TCF12	1	0	0	0	2	0	0	0	0	3	3	3
TCF7L2	0	0	0	0	3	0	0	0	0	3	3	3
TCTE1	3	0	0	0	0	0	0	0	0	3	3	3
TENM3	0	0	0	0	3	0	0	0	0	3	3	3
TESMIN	0	0	0	0	3	0	0	0	0	3	3	3
TFAP2D	0	0	0	0	3	0	0	0	0	3	3	3
TFB2M	0	0	0	0	3	0	0	0	0	3	3	3
TGIF2LX	0	0	0	0	3	0	0	0	0	3	3	3
THSD7B	0	0	0	0	3	0	0	0	0	3	3	3
TIMP4	0	0	0	0	3	0	0	0	0	3	3	3
TLR10	0	0	0	0	3	0	0	0	0	3	3	3
TMC4	0	0	0	0	3	0	0	0	0	3	3	3
TOE1	0	0	0	0	3	0	0	0	0	3	3	3
TREML1	0	0	0	0	3	0	0	0	0	3	3	3
TRIM21	0	0	0	0	3	0	0	0	0	3	3	3
TRIM58	0	0	0	0	3	0	0	0	0	3	3	3
TRPA1	0	0	0	0	2	1	0	0	0	3	3	3
TRPC4	0	0	0	0	3	0	0	0	0	3	3	3
TSC22D1	3	0	0	0	0	0	0	0	0	3	3	3
TXK	0	0	0	0	3	0	0	0	0	3	3	3
TYMP	0	0	3	0	0	0	0	0	0	3	3	3
UGT2B4	0	0	0	0	3	0	0	0	0	3	3	3
UPK3B	0	0	0	0	3	0	0	0	0	3	3	3
UPP2	3	0	0	0	0	0	0	0	0	3	3	3
USP32	0	0	0	0	3	0	0	0	0	3	3	3
UTF1	0	0	0	0	3	0	0	0	0	3	3	3
WDR70	0	0	0	0	3	0	0	0	0	3	3	3
WDR86	0	0	0	0	3	0	0	0	0	3	3	3
WIPI2	0	0	0	0	0	3	0	0	0	3	3	3
ZBTB20	0	0	0	0	3	0	0	0	0	3	3	3
ZFC3H1	0	0	0	0	3	0	0	0	0	3	3	3
ZMYND8	0	0	0	0	3	0	0	0	0	3	3	3
ZNF124	0	0	0	0	3	0	0	0	0	3	3	3
ZNF385B	0	0	0	0	3	0	0	0	0	3	3	3
ZNF423	0	0	0	0	3	0	0	0	0	3	3	3
ZNF425	0	1	0	0	2	0	0	0	0	3	3	3
ZNF462	0	0	0	0	0	3	0	0	0	3	3	3
ZNF665	0	0	0	0	3	0	0	0	0	3	3	3
ZNF681	0	0	0	0	3	0	0	0	0	3	3	3
ZNF770	0	0	0	0	3	0	0	0	0	3	3	3
ZNF804B	0	0	0	0	3	0	0	0	0	3	3	3
ZSCAN4	0	0	0	0	3	0	0	0	0	3	3	3
ZXDC	0	0	0	0	3	0	0	0	0	3	3	3
LRP8	4	0	0	0	2	0	0	0	0	6	2	2
ACSS3	1	0	0	0	3	0	0	0	0	4	2	2
BMPR2	0	0	0	0	4	0	0	0	0	4	2	2
CCNT2	0	0	0	0	4	0	0	0	0	4	2	2
CNN3	0	0	0	0	2	0	0	2	0	4	2	2
COL6A5	0	0	1	1	2	0	0	0	0	4	2	2
COPB1	0	0	0	0	4	0	0	0	0	4	2	2
FLNB	0	0	0	0	3	1	0	0	0	4	2	2
KY	0	0	0	0	4	0	0	0	0	4	2	2
MYOM1	0	0	0	0	2	0	2	0	0	4	2	2
NKX6-2	0	0	0	0	4	0	0	0	0	4	2	2
SBF2	0	1	0	0	3	0	0	0	0	4	2	2
UNC45A	0	0	0	0	4	0	0	0	0	4	2	2
ANK2	0	0	0	0	3	0	0	0	0	3	2	2
CEP135	0	0	0	0	3	0	0	0	0	3	2	2
ERCC6L2	0	0	0	0	3	0	0	0	0	3	2	2
HIVEP1	1	1	0	0	1	0	0	0	0	3	2	2
MUC5B	1	0	0	0	2	0	0	0	0	3	2	2
NXPE4	0	0	0	0	3	0	0	0	0	3	2	2
OR4N2	0	0	0	0	3	0	0	0	0	3	2	2
PIP5K1C	1	0	0	0	2	0	0	0	0	3	2	2
PLCE1	0	0	0	0	2	1	0	0	0	3	2	2
RPAP1	0	0	0	0	3	0	0	0	0	3	2	2
TCP11	0	0	0	0	3	0	0	0	0	3	2	2
ABCB5	0	0	0	0	2	0	0	0	0	2	2	2
ABCC12	0	0	0	0	2	0	0	0	0	2	2	2
ABCC3	0	0	0	0	2	0	0	0	0	2	2	2
ACAA2	0	0	0	0	2	0	0	0	0	2	2	2
ACIN1	0	0	0	0	0	2	0	0	0	2	2	2
ACLY	0	0	0	0	2	0	0	0	0	2	2	2
ACTB	0	0	0	0	2	0	0	0	0	2	2	2
ACTL10	0	0	0	0	2	0	0	0	0	2	2	2
ACTL9	0	0	0	0	2	0	0	0	0	2	2	2
ADAMTS12	0	0	0	0	2	0	0	0	0	2	2	2
ADAMTS17	0	0	0	0	2	0	0	0	0	2	2	2
ADAMTS19	0	0	0	0	2	0	0	0	0	2	2	2
ADAMTS2	0	0	0	0	2	0	0	0	0	2	2	2
ADAMTSL5	0	0	0	0	2	0	0	0	0	2	2	2
ADAP1	0	0	0	0	0	2	0	0	0	2	2	2
ADCY1	0	0	0	0	2	0	0	0	0	2	2	2
ADGRV1	0	0	0	0	2	0	0	0	0	2	2	2
ADNP2	2	0	0	0	0	0	0	0	0	2	2	2
ADPGK	0	0	0	0	2	0	0	0	0	2	2	2
ADRA1B	0	0	0	0	2	0	0	0	0	2	2	2
ADRA1D	0	0	0	0	2	0	0	0	0	2	2	2
AKAP13	0	0	0	0	2	0	0	0	0	2	2	2
AMY1A	0	0	0	0	2	0	0	0	0	2	2	2
ANKRD12	0	0	0	0	2	0	0	0	0	2	2	2
ANKRD13B	0	0	0	0	2	0	0	0	0	2	2	2
ANKRD35	0	0	0	0	2	0	0	0	0	2	2	2
ANKRD49	0	0	0	0	2	0	0	0	0	2	2	2
ANKRD6	0	0	0	0	2	0	0	0	0	2	2	2
ANO5	0	0	0	0	2	0	0	0	0	2	2	2
APOBEC3D	0	0	0	0	2	0	0	0	0	2	2	2
AQP1	0	0	0	0	2	0	0	0	0	2	2	2
ARFGEF2	0	0	0	0	2	0	0	0	0	2	2	2
ARHGAP33	2	0	0	0	0	0	0	0	0	2	2	2
ARHGEF18	0	0	0	0	2	0	0	0	0	2	2	2
ARID3B	0	0	2	0	0	0	0	0	0	2	2	2
ARMC4	0	0	0	0	2	0	0	0	0	2	2	2
ASCC1	0	0	0	0	2	0	0	0	0	2	2	2
ASPA	0	0	0	0	2	0	0	0	0	2	2	2
ATG9A	0	0	0	0	2	0	0	0	0	2	2	2
ATN1	0	0	0	0	2	0	0	0	0	2	2	2
ATP9B	0	0	0	0	0	0	0	2	0	2	2	2
ATXN1	0	0	0	0	2	0	0	0	0	2	2	2
BAG3	0	0	0	0	2	0	0	0	0	2	2	2
BARHL2	0	0	0	0	2	0	0	0	0	2	2	2
BCAS3	0	0	0	0	2	0	0	0	0	2	2	2
BCO2	0	0	0	0	2	0	0	0	0	2	2	2
BEND4	0	0	0	0	2	0	0	0	0	2	2	2
BMP15	0	0	0	0	2	0	0	0	0	2	2	2
BOD1L1	0	0	0	0	2	0	0	0	0	2	2	2
BOD1L2	0	0	0	0	2	0	0	0	0	2	2	2
BRD1	0	0	0	0	2	0	0	0	0	2	2	2
BRINP3	0	0	0	0	2	0	0	0	0	2	2	2
BTN1A1	0	0	0	0	2	0	0	0	0	2	2	2
C17orf80	0	0	0	0	2	0	0	0	0	2	2	2
C2CD3	0	0	0	0	2	0	0	0	0	2	2	2
C9	0	0	0	0	2	0	0	0	0	2	2	2
CA12	0	0	0	0	2	0	0	0	0	2	2	2
CABS1	0	0	0	0	2	0	0	0	0	2	2	2
CACNG5	0	0	0	0	2	0	0	0	0	2	2	2
CAPN11	0	0	0	0	2	0	0	0	0	2	2	2
