Reference	Disease	Cluster	Gene
Plasschaert et al	Epithelial	Secretory	Por
Plasschaert et al	Epithelial	Secretory	Iqgap2
Plasschaert et al	Epithelial	Ciliated	Ccdc153
Plasschaert et al	Epithelial	Ciliated	Dynlrb2
Plasschaert et al	Epithelial	Ciliated	Foxj1
Plasschaert et al	Epithelial	Ciliated	1110017D15Rik
Plasschaert et al	Epithelial	Ciliated	1700007K13Rik
Plasschaert et al	Epithelial	Ciliated	Tmem212
Plasschaert et al	Epithelial	Ciliated	Mlf1
Plasschaert et al	Epithelial	Ciliated	Pcp4l1
Plasschaert et al	Epithelial	Ciliated	1700003M02Rik
Plasschaert et al	Epithelial	Ciliated	Lrrc23
Plasschaert et al	Epithelial	Ciliated	1700016K19Rik
Plasschaert et al	Epithelial	Ciliated	Tm4sf1
Plasschaert et al	Epithelial	Ciliated	Dnali1
Plasschaert et al	Epithelial	Ciliated	Cfap126
Plasschaert et al	Epithelial	Ciliated	Pifo
Plasschaert et al	Epithelial	Ciliated	Dnah5
Plasschaert et al	Epithelial	Ciliated	Tctex1d4
Plasschaert et al	Epithelial	Ciliated	Fam216b
Plasschaert et al	Epithelial	Ciliated	Ccdc113
Plasschaert et al	Epithelial	Ciliated	Ak7
Plasschaert et al	Epithelial	Ciliated	Cdhr3
Plasschaert et al	Epithelial	Ciliated	Ccdc108
Plasschaert et al	Epithelial	Ciliated	Stmnd1
Plasschaert et al	Epithelial	Ciliated	Meig1
Plasschaert et al	Epithelial	Ciliated	Cfap52
Plasschaert et al	Epithelial	Ciliated	Iqca
Plasschaert et al	Epithelial	Ciliated	Ccdc40
Plasschaert et al	Epithelial	Ciliated	Cetn4
Plasschaert et al	Epithelial	Ciliated	Saxo2
Plasschaert et al	Epithelial	Ciliated	Lrrc10b
Plasschaert et al	Epithelial	Ciliated	BC051019
Plasschaert et al	Epithelial	Ciliated	Fam92b
Plasschaert et al	Epithelial	Ciliated	Dnaic2
Plasschaert et al	Epithelial	Ciliated	Wdr63
Plasschaert et al	Epithelial	Ciliated	Ccdc146
Plasschaert et al	Epithelial	Ciliated	Cdh26
Plasschaert et al	Epithelial	Ciliated	Enkur
Plasschaert et al	Epithelial	Ciliated	Dnah6
Plasschaert et al	Epithelial	Ciliated	Rsph1
Plasschaert et al	Epithelial	Ciliated	Tmem232
Plasschaert et al	Epithelial	Ciliated	Erich2
Plasschaert et al	Epithelial	Ciliated	Efhc1
Plasschaert et al	Epithelial	Ciliated	Dmkn
Plasschaert et al	Epithelial	Ciliated	Sntn
Plasschaert et al	Epithelial	Ciliated	Eno4
Plasschaert et al	Epithelial	Ciliated	Spag6
Plasschaert et al	Epithelial	Ciliated	Ak8
Plasschaert et al	Epithelial	Ciliated	Spag16
Plasschaert et al	Epithelial	Ciliated	6820408C15Rik
Plasschaert et al	Epithelial	Ciliated	1700101E01Rik
Plasschaert et al	Epithelial	Ciliated	Cdhr4
Plasschaert et al	Epithelial	Ciliated	Odf3b
Plasschaert et al	Epithelial	Ciliated	Arhgdig
Plasschaert et al	Epithelial	Ciliated	Lrrc48
Plasschaert et al	Epithelial	Ciliated	Fam47e
Plasschaert et al	Epithelial	Ciliated	Ccdc17
Plasschaert et al	Epithelial	Ciliated	Drc1
Plasschaert et al	Epithelial	Ciliated	Cfap43
Plasschaert et al	Epithelial	Ciliated	Mapk15
Plasschaert et al	Epithelial	Ciliated	Hydin
Plasschaert et al	Epithelial	Ciliated	Ccdc121
Plasschaert et al	Epithelial	Ciliated	Zmynd10
Plasschaert et al	Epithelial	Ciliated	4932443I19Rik
Plasschaert et al	Epithelial	Ciliated	Iqcg
Plasschaert et al	Epithelial	Ciliated	Adgb
Plasschaert et al	Epithelial	Ciliated	4933434E20Rik
Plasschaert et al	Epithelial	Ciliated	Traf3ip1
Plasschaert et al	Epithelial	Ciliated	Tekt1
Plasschaert et al	Epithelial	Ciliated	1700088E04Rik
Plasschaert et al	Epithelial	Ciliated	Cfap69
Plasschaert et al	Epithelial	Ciliated	1700026L06Rik
Plasschaert et al	Epithelial	Ciliated	Nme5
Plasschaert et al	Epithelial	Ciliated	Catip
Plasschaert et al	Epithelial	Ciliated	Dnah9
Plasschaert et al	Epithelial	Ciliated	1700026D08Rik
Plasschaert et al	Epithelial	Ciliated	Fhad1
Plasschaert et al	Epithelial	Ciliated	Efcab10
Plasschaert et al	Epithelial	Ciliated	Ccdc181
Plasschaert et al	Epithelial	Ciliated	Ccdc74a
Plasschaert et al	Epithelial	Ciliated	Rsph4a
Plasschaert et al	Epithelial	Ciliated	Calml4
Plasschaert et al	Epithelial	Ciliated	Fbxo36
Plasschaert et al	Epithelial	Ciliated	1700001C02Rik
Plasschaert et al	Epithelial	Ciliated	Gm973
Plasschaert et al	Epithelial	Ciliated	Dnah10
Plasschaert et al	Epithelial	Ciliated	Cfap54
Plasschaert et al	Epithelial	Ciliated	Ttc29
Plasschaert et al	Epithelial	Ciliated	Ccdc30
Plasschaert et al	Epithelial	Ciliated	Spag8
Plasschaert et al	Epithelial	Ciliated	Ppil6
Plasschaert et al	Epithelial	Ciliated	Dnah12
Plasschaert et al	Epithelial	Ciliated	Cdkl4
Plasschaert et al	Epithelial	Ciliated	Adam8
Plasschaert et al	Epithelial	Ciliated	Nek5
Plasschaert et al	Epithelial	Ciliated	Fam166b
Plasschaert et al	Epithelial	Ciliated	Vpreb3
Plasschaert et al	Epithelial	Ciliated	Vwa3a
Plasschaert et al	Epithelial	Ciliated	Nme9
Plasschaert et al	Epithelial	Ciliated	Fam183b
Plasschaert et al	Epithelial	Ciliated	Lrrc34
Plasschaert et al	Epithelial	Ciliated	Mak
Plasschaert et al	Epithelial	Ciliated	2310007L24Rik
Plasschaert et al	Epithelial	Ciliated	1700007G11Rik
Plasschaert et al	Epithelial	Ciliated	Tcte1
Plasschaert et al	Epithelial	Ciliated	4833427G06Rik
Plasschaert et al	Epithelial	Ciliated	Cmbl
Plasschaert et al	Epithelial	Ciliated	Cep83
Plasschaert et al	Epithelial	Ciliated	Ankrd66
Plasschaert et al	Epithelial	Ciliated	Maats1
Plasschaert et al	Epithelial	Ciliated	Serpina9
Plasschaert et al	Epithelial	Ciliated	Nhlrc4
Plasschaert et al	Epithelial	Ciliated	Drc7
Plasschaert et al	Epithelial	Ciliated	Kcnmb2
Plasschaert et al	Epithelial	Ciliated	Riiad1
Plasschaert et al	Epithelial	Ciliated	1700024G13Rik
Plasschaert et al	Epithelial	Ciliated	2410004P03Rik
Plasschaert et al	Epithelial	Ciliated	Cfap45
Plasschaert et al	Epithelial	Ciliated	Wdr78
Plasschaert et al	Epithelial	Ciliated	Ccdc65
Plasschaert et al	Epithelial	Ciliated	Ccdc81
Plasschaert et al	Epithelial	Ciliated	4930444P10Rik
Plasschaert et al	Epithelial	Ciliated	Cfap57
Plasschaert et al	Epithelial	Ciliated	Ubxn10
Plasschaert et al	Epithelial	Ciliated	Elof1
Plasschaert et al	Epithelial	Ciliated	Ttc30b
Plasschaert et al	Epithelial	Ciliated	Tbata
Plasschaert et al	Epithelial	Ciliated	4430402I18Rik
Plasschaert et al	Epithelial	Ciliated	Dnah7a
Plasschaert et al	Epithelial	Ciliated	Rsph10b
Plasschaert et al	Epithelial	Ciliated	Kcnmb1
Plasschaert et al	Epithelial	Ciliated	Spef2
Plasschaert et al	Epithelial	Ciliated	Jam3
Plasschaert et al	Epithelial	Ciliated	Timp4
Plasschaert et al	Epithelial	Ciliated	Bbox1
Plasschaert et al	Epithelial	Ciliated	Morn3
Plasschaert et al	Epithelial	Ciliated	Wnt11
Plasschaert et al	Epithelial	Ciliated	Lbh
Plasschaert et al	Epithelial	Ciliated	Csrp2
Plasschaert et al	Epithelial	Ciliated	E230008N13Rik
Plasschaert et al	Epithelial	Ciliated	Uox
Plasschaert et al	Epithelial	Ciliated	Ccdc67
Plasschaert et al	Epithelial	Ciliated	Rtp3
Plasschaert et al	Epithelial	Ciliated	Dusp14
Plasschaert et al	Epithelial	Ciliated	Ccdc176
Plasschaert et al	Epithelial	Ciliated	2610028H24Rik
Plasschaert et al	Epithelial	Ciliated	Zfp474
Plasschaert et al	Epithelial	Ciliated	Cfap70
Plasschaert et al	Epithelial	Ciliated	Dusp18
Plasschaert et al	Epithelial	Ciliated	Elmod1
Plasschaert et al	Epithelial	Ciliated	Lrrc51
Plasschaert et al	Epithelial	Ciliated	Fam179a
Plasschaert et al	Epithelial	Ciliated	Armc4
Plasschaert et al	Epithelial	Ciliated	Ccdc37
Plasschaert et al	Epithelial	Ciliated	6430531B16Rik
Plasschaert et al	Epithelial	Ciliated	Acot1
Plasschaert et al	Epithelial	Ciliated	Wdr66
Plasschaert et al	Epithelial	Ciliated	Pltp
Plasschaert et al	Epithelial	Ciliated	Lrrc36
Plasschaert et al	Epithelial	Ciliated	Antxr2
Plasschaert et al	Epithelial	Ciliated	Spag17
Plasschaert et al	Epithelial	Ciliated	Gm166
Plasschaert et al	Epithelial	Ciliated	Tsnaxip1
Plasschaert et al	Epithelial	Ciliated	Syne1
Plasschaert et al	Epithelial	Ciliated	Cfap58
Plasschaert et al	Epithelial	Ciliated	Spa17
Plasschaert et al	Epithelial	Ciliated	Zmynd12
Plasschaert et al	Epithelial	Ciliated	Diras2
Plasschaert et al	Epithelial	Ciliated	Ift172
Plasschaert et al	Epithelial	Ciliated	Ccdc96
Plasschaert et al	Epithelial	Ciliated	Ppp1r36
Plasschaert et al	Epithelial	Ciliated	Cfap53
Plasschaert et al	Epithelial	Ciliated	Ankrd42
Plasschaert et al	Epithelial	Ciliated	Ttc16
Plasschaert et al	Epithelial	Ciliated	Dyx1c1
Plasschaert et al	Epithelial	Ciliated	Lrguk
Plasschaert et al	Epithelial	Ciliated	Aoc1
Plasschaert et al	Epithelial	Ciliated	Ccdc78
Plasschaert et al	Epithelial	Ciliated	1700028P14Rik
Plasschaert et al	Epithelial	Ciliated	Dnah1
Plasschaert et al	Epithelial	Ciliated	Kif19a
Plasschaert et al	Epithelial	Ciliated	Aldh3b1
Plasschaert et al	Epithelial	Ciliated	1700013F07Rik
Plasschaert et al	Epithelial	Ciliated	Ppp1r32
Plasschaert et al	Epithelial	Ciliated	Fam149a
Plasschaert et al	Epithelial	Ciliated	Erich3
Plasschaert et al	Epithelial	Ciliated	Rabl2
Plasschaert et al	Epithelial	Ciliated	Kcnk12
Plasschaert et al	Epithelial	Ciliated	Dnah2
Plasschaert et al	Epithelial	Ciliated	Agr3
Plasschaert et al	Epithelial	Ciliated	Lrrc71
Plasschaert et al	Epithelial	Ciliated	Itpka
Plasschaert et al	Epithelial	Ciliated	Dnajb13
Plasschaert et al	Epithelial	Ciliated	Ccdc162
Plasschaert et al	Epithelial	Ciliated	Akap14
Plasschaert et al	Epithelial	Ciliated	Ccdc39
Plasschaert et al	Epithelial	Ciliated	Slc35e3
Plasschaert et al	Epithelial	Ciliated	Spata18
Plasschaert et al	Epithelial	Ciliated	Smtnl2
Plasschaert et al	Epithelial	Ciliated	Tekt4
Plasschaert et al	Epithelial	Ciliated	Ttc12
Plasschaert et al	Epithelial	Ciliated	Rab36
Plasschaert et al	Epithelial	Ciliated	Lhb
Plasschaert et al	Epithelial	Ciliated	Dnaic1
Plasschaert et al	Epithelial	Ciliated	Lrrc74b
Plasschaert et al	Epithelial	Ciliated	Mdh1b
Plasschaert et al	Epithelial	Ciliated	Morn5
Plasschaert et al	Epithelial	Ciliated	Cfap61
Plasschaert et al	Epithelial	Ciliated	Cfap46
Plasschaert et al	Epithelial	Ciliated	Armc3
Plasschaert et al	Epithelial	Ciliated	Rsph14
Plasschaert et al	Epithelial	Ciliated	Shank2
Plasschaert et al	Epithelial	Ciliated	Dnaaf1
Plasschaert et al	Epithelial	Ciliated	Rpgrip1l
Plasschaert et al	Epithelial	Ciliated	Ly6c1
Plasschaert et al	Epithelial	Ciliated	Cfap44
Plasschaert et al	Epithelial	Ciliated	Oscp1
Plasschaert et al	Epithelial	Ciliated	Ccdc13
Plasschaert et al	Epithelial	Ciliated	Ppp1r12b
Plasschaert et al	Epithelial	Ciliated	Spef1
Plasschaert et al	Epithelial	Ciliated	Plin5
Plasschaert et al	Epithelial	Ciliated	Ankrd44
Plasschaert et al	Epithelial	Ciliated	Ddo
Plasschaert et al	Epithelial	Ciliated	Gtsf1l
Plasschaert et al	Epithelial	Ciliated	Iqck
Plasschaert et al	Epithelial	Ciliated	Wdr19
Plasschaert et al	Epithelial	Ciliated	Dzank1
Plasschaert et al	Epithelial	Ciliated	Ctsk
Plasschaert et al	Epithelial	Ciliated	Pacrg
Plasschaert et al	Epithelial	Ciliated	Lrrc46
Plasschaert et al	Epithelial	Ciliated	Ift43
Plasschaert et al	Epithelial	Ciliated	Ccdc151
Plasschaert et al	Epithelial	Ciliated	1110004E09Rik
Plasschaert et al	Epithelial	Ciliated	Ly6c2
Plasschaert et al	Epithelial	Ciliated	Dpcd
Plasschaert et al	Epithelial	Ciliated	Ttc21a
Plasschaert et al	Epithelial	Ciliated	Kif6
Plasschaert et al	Epithelial	Ciliated	Cfap221
Plasschaert et al	Epithelial	Ciliated	01/03/04
Plasschaert et al	Epithelial	Ciliated	Ldlrad1
Plasschaert et al	Epithelial	Ciliated	1700029J07Rik
Plasschaert et al	Epithelial	Ciliated	1700040L02Rik
Plasschaert et al	Epithelial	Ciliated	Bphl
Plasschaert et al	Epithelial	Ciliated	Naaa
Plasschaert et al	Epithelial	Ciliated	Rfx2
Plasschaert et al	Epithelial	Ciliated	Ampd1
Plasschaert et al	Epithelial	Ciliated	Dzip1l
Plasschaert et al	Epithelial	Ciliated	Xylb
Plasschaert et al	Epithelial	Ciliated	Ulk4
Plasschaert et al	Epithelial	Ciliated	Fam161a
Plasschaert et al	Epithelial	Ciliated	Daw1
Plasschaert et al	Epithelial	Ciliated	Iqub
Plasschaert et al	Epithelial	Ciliated	Acox2
Plasschaert et al	Epithelial	Ciliated	1700019L03Rik
Plasschaert et al	Epithelial	Ciliated	Crocc2
Plasschaert et al	Epithelial	Ciliated	Slc23a2
Plasschaert et al	Epithelial	Ciliated	Gas8
Plasschaert et al	Epithelial	Ciliated	Myl4
Plasschaert et al	Epithelial	Ciliated	Kif27
Plasschaert et al	Epithelial	Ciliated	Fhl1
Plasschaert et al	Epithelial	Ciliated	Fam161b
Plasschaert et al	Epithelial	Ciliated	Tex26
Plasschaert et al	Epithelial	Ciliated	Ttc39a
Plasschaert et al	Epithelial	Ciliated	Ift74
Plasschaert et al	Epithelial	Ciliated	Fank1
Plasschaert et al	Epithelial	Ciliated	Ubxn11
Plasschaert et al	Epithelial	Ciliated	Ccdc157
Plasschaert et al	Epithelial	Ciliated	Hspa2
Plasschaert et al	Epithelial	Ciliated	Slc2a12
Plasschaert et al	Epithelial	Ciliated	Dnah7c
Plasschaert et al	Epithelial	Ciliated	Hsph1
Plasschaert et al	Epithelial	Ciliated	Ctxn1
Plasschaert et al	Epithelial	Ciliated	Ccpg1os
Plasschaert et al	Epithelial	Ciliated	Eml2
Plasschaert et al	Epithelial	Ciliated	Styxl1
Plasschaert et al	Epithelial	Ciliated	Col8a2
Plasschaert et al	Epithelial	Ciliated	Pih1d2
Plasschaert et al	Epithelial	Ciliated	Bbs7
Plasschaert et al	Epithelial	Ciliated	Slc24a3
Plasschaert et al	Epithelial	Ciliated	1110032A03Rik
Plasschaert et al	Epithelial	Ciliated	Ccdc60
Plasschaert et al	Epithelial	Ciliated	Chchd6
Plasschaert et al	Epithelial	Ciliated	2310034G01Rik
Plasschaert et al	Epithelial	Ciliated	Slc35g3
Plasschaert et al	Epithelial	Ciliated	Gpr155
Plasschaert et al	Epithelial	Ciliated	Tcp11
Plasschaert et al	Epithelial	Ciliated	Nudc
Plasschaert et al	Epithelial	Ciliated	Trp73
Plasschaert et al	Epithelial	Ciliated	Hsp90aa1
Plasschaert et al	Epithelial	Ciliated	Wdr95
Plasschaert et al	Epithelial	Ciliated	Wdr35
Plasschaert et al	Epithelial	Ciliated	Wdr60
Plasschaert et al	Epithelial	Ciliated	Mok
Plasschaert et al	Epithelial	Ciliated	Stk33
Plasschaert et al	Epithelial	Ciliated	Trp53bp2
Plasschaert et al	Epithelial	Ciliated	Cfap20
Plasschaert et al	Epithelial	Ciliated	Iqcd
Plasschaert et al	Epithelial	Ciliated	Cdc14a
Plasschaert et al	Epithelial	Ciliated	Gm1661
Plasschaert et al	Epithelial	Ciliated	Tgtp1
Plasschaert et al	Epithelial	Ciliated	Dcbld2
Plasschaert et al	Epithelial	Ciliated	Capsl
Plasschaert et al	Epithelial	Ciliated	Mycbp
Plasschaert et al	Epithelial	Ciliated	Tmem107
Plasschaert et al	Epithelial	Ciliated	Tgtp2
Plasschaert et al	Epithelial	Ciliated	Cyp2s1
Plasschaert et al	Epithelial	Ciliated	Agbl2
Plasschaert et al	Epithelial	Ciliated	Ift88
Plasschaert et al	Epithelial	Ciliated	1700003E16Rik
Plasschaert et al	Epithelial	Ciliated	Kif9
Plasschaert et al	Epithelial	Ciliated	Dync2li1
Plasschaert et al	Epithelial	Ciliated	Mns1
Plasschaert et al	Epithelial	Ciliated	9230110C19Rik
Plasschaert et al	Epithelial	Ciliated	Eml1
Plasschaert et al	Epithelial	Ciliated	Tmem67
Plasschaert et al	Epithelial	Ciliated	Wdyhv1
Plasschaert et al	Epithelial	Ciliated	4931406C07Rik
Plasschaert et al	Epithelial	Ciliated	Glipr1
Plasschaert et al	Epithelial	Ciliated	Nek11
Plasschaert et al	Epithelial	Ciliated	Dzip1
Plasschaert et al	Epithelial	Ciliated	Pnp
Plasschaert et al	Epithelial	Ciliated	Slc23a1
Plasschaert et al	Epithelial	Ciliated	Ttc26
Plasschaert et al	Epithelial	Ciliated	Kif26b
Plasschaert et al	Epithelial	Ciliated	Cep126
Plasschaert et al	Epithelial	Ciliated	Mdm1
Plasschaert et al	Epithelial	Ciliated	Efcab2
Plasschaert et al	Epithelial	Ciliated	Zc2hc1a
Plasschaert et al	Epithelial	Ciliated	Syt5
Plasschaert et al	Epithelial	Ciliated	Adck4
Plasschaert et al	Epithelial	Ciliated	1700001L19Rik
Plasschaert et al	Epithelial	Ciliated	Mdm2
Plasschaert et al	Epithelial	Ciliated	Dnah11
Plasschaert et al	Epithelial	Ciliated	Stk36
Plasschaert et al	Epithelial	Ciliated	Plet1
Plasschaert et al	Epithelial	Ciliated	Ifi35
Plasschaert et al	Epithelial	Ciliated	Basp1
Plasschaert et al	Epithelial	Ciliated	Fsd1l
Plasschaert et al	Epithelial	Ciliated	Fam43a
Plasschaert et al	Epithelial	Ciliated	Tuba1a
Plasschaert et al	Epithelial	Ciliated	Sptlc3
Plasschaert et al	Epithelial	Ciliated	Dnah7b
Plasschaert et al	Epithelial	Ciliated	Ccdc138
Plasschaert et al	Epithelial	Ciliated	Chchd10
Plasschaert et al	Epithelial	Ciliated	Lztfl1
Plasschaert et al	Epithelial	Ciliated	Ccdc33
Plasschaert et al	Epithelial	Ciliated	Rab23
Plasschaert et al	Epithelial	Ciliated	Efcab12
Plasschaert et al	Epithelial	Ciliated	Ccdc114
Plasschaert et al	Epithelial	Ciliated	Sco2
Plasschaert et al	Epithelial	Ciliated	Cd177
Plasschaert et al	Epithelial	Ciliated	Ak9
Plasschaert et al	Epithelial	Ciliated	Rpgr
Plasschaert et al	Epithelial	Ciliated	Nphp3
Plasschaert et al	Epithelial	Ciliated	Ccdc173
Plasschaert et al	Epithelial	Ciliated	Dync2h1
Plasschaert et al	Epithelial	Ciliated	Tppp3
Plasschaert et al	Epithelial	Ciliated	Armc2
Plasschaert et al	Epithelial	Ciliated	Ift46
Plasschaert et al	Epithelial	Ciliated	Cald1
Plasschaert et al	Epithelial	Ciliated	Flt3l
Plasschaert et al	Epithelial	Ciliated	Itgal
Plasschaert et al	Epithelial	Ciliated	Dnaaf2
Plasschaert et al	Epithelial	Ciliated	Bicc1
Plasschaert et al	Epithelial	Ciliated	Tmem216
Plasschaert et al	Epithelial	Ciliated	Fbxl2
Plasschaert et al	Epithelial	Ciliated	Gm5511
Plasschaert et al	Epithelial	Ciliated	Med31
Plasschaert et al	Epithelial	Ciliated	Dnajc15
Plasschaert et al	Epithelial	Ciliated	2610015P09Rik
Plasschaert et al	Epithelial	Ciliated	Wdr90
Plasschaert et al	Epithelial	Ciliated	Tmem231
Plasschaert et al	Epithelial	Ciliated	B9d1
Plasschaert et al	Epithelial	Ciliated	Scn3b
Plasschaert et al	Epithelial	Ciliated	Smim5
Plasschaert et al	Epithelial	Ciliated	Fam216a
Plasschaert et al	Epithelial	Ciliated	Nudt4
Plasschaert et al	Epithelial	Ciliated	Nphp1
Plasschaert et al	Epithelial	Ciliated	Morn1
Plasschaert et al	Epithelial	Ciliated	Dcdc2a
Plasschaert et al	Epithelial	Ciliated	Metrn
Plasschaert et al	Epithelial	Ciliated	Unc79
Plasschaert et al	Epithelial	Ciliated	Phtf1
Plasschaert et al	Epithelial	Ciliated	Ift81
Plasschaert et al	Epithelial	Ciliated	Zc2hc1c
Plasschaert et al	Epithelial	Ciliated	Dyrk3
Plasschaert et al	Epithelial	Ciliated	Calm1
Plasschaert et al	Epithelial	Ciliated	Wdr34
Plasschaert et al	Epithelial	Ciliated	Tbcel
Plasschaert et al	Epithelial	Ciliated	Ruvbl1
Plasschaert et al	Epithelial	Ciliated	Plekhb1
Plasschaert et al	Epithelial	Ciliated	Klk11
Plasschaert et al	Epithelial	Ciliated	Tsga10
Plasschaert et al	Epithelial	Ciliated	Dnaaf5
Plasschaert et al	Epithelial	Ciliated	Etnk1
Plasschaert et al	Epithelial	Ciliated	Synj1
Plasschaert et al	Epithelial	Ciliated	Spata6
Plasschaert et al	Epithelial	Ciliated	Mipep
Plasschaert et al	Epithelial	Ciliated	Mycbpap
Plasschaert et al	Epithelial	Ciliated	Slc16a3
Plasschaert et al	Epithelial	Ciliated	Prdx5
Plasschaert et al	Epithelial	Ciliated	Cspp1
Plasschaert et al	Epithelial	Ciliated	Slc9a3r1
Plasschaert et al	Epithelial	Ciliated	Ppp1r14c
Plasschaert et al	Epithelial	Ciliated	Cetn2
Plasschaert et al	Epithelial	Ciliated	1810043G02Rik
Plasschaert et al	Epithelial	Ciliated	Prkar2b
Plasschaert et al	Epithelial	Ciliated	Dalrd3
Plasschaert et al	Epithelial	Ciliated	Ift22
Plasschaert et al	Epithelial	Ciliated	Lrwd1
Plasschaert et al	Epithelial	Ciliated	Rgs3
Plasschaert et al	Epithelial	Ciliated	Poc5
Plasschaert et al	Epithelial	Ciliated	Osbpl6
Plasschaert et al	Epithelial	Ciliated	Lrrc8b
Plasschaert et al	Epithelial	Ciliated	Spata24
Plasschaert et al	Epithelial	Ciliated	Rsph3b
Plasschaert et al	Epithelial	Ciliated	Odc1
Plasschaert et al	Epithelial	Ciliated	Slc24a4
Plasschaert et al	Epithelial	Ciliated	Lgals3bp
Plasschaert et al	Epithelial	Ciliated	Tctex1d2
Plasschaert et al	Epithelial	Ciliated	Fam167a
Plasschaert et al	Epithelial	Ciliated	Fam179b
Plasschaert et al	Epithelial	Ciliated	Tulp3
Plasschaert et al	Epithelial	Ciliated	Ccno
Plasschaert et al	Epithelial	Ciliated	BC048546
Plasschaert et al	Epithelial	Ciliated	Nphp4
Plasschaert et al	Epithelial	Ciliated	Ttc8
Plasschaert et al	Epithelial	Ciliated	Sdccag8
Plasschaert et al	Epithelial	Ciliated	Wrb
Plasschaert et al	Epithelial	Ciliated	Dnaja4
Plasschaert et al	Epithelial	Ciliated	Myb
Plasschaert et al	Epithelial	Ciliated	Cfap36
Plasschaert et al	Epithelial	Ciliated	Rabgap1l
Plasschaert et al	Epithelial	Ciliated	Sec14l3
Plasschaert et al	Epithelial	Ciliated	Gbas
Plasschaert et al	Epithelial	Ciliated	Pcnxl4
Plasschaert et al	Epithelial	Ciliated	Fam84b
Plasschaert et al	Epithelial	Ciliated	Ruvbl2
Plasschaert et al	Epithelial	Ciliated	Fhit
Plasschaert et al	Epithelial	Ciliated	Psmc3ip
Plasschaert et al	Epithelial	Ciliated	Dnaaf3
Plasschaert et al	Epithelial	Ciliated	Osbpl3
Plasschaert et al	Epithelial	Ciliated	Ccdc24
Plasschaert et al	Epithelial	Ciliated	Fam134b
Plasschaert et al	Epithelial	Ciliated	Lrrc45
Plasschaert et al	Epithelial	Ciliated	Bok
Plasschaert et al	Epithelial	Ciliated	Cds1
Plasschaert et al	Epithelial	Ciliated	Fam131a
Plasschaert et al	Epithelial	Ciliated	Lca5
Plasschaert et al	Epithelial	Ciliated	Dlec1
Plasschaert et al	Epithelial	Ciliated	Grb14
Plasschaert et al	Epithelial	Ciliated	Tgfbr3
Plasschaert et al	Epithelial	Ciliated	Pus10
Plasschaert et al	Epithelial	Ciliated	Dnal1
Plasschaert et al	Epithelial	Ciliated	Chek2
Plasschaert et al	Epithelial	Ciliated	Rsph9
Plasschaert et al	Epithelial	Ciliated	Fanca
Plasschaert et al	Epithelial	Ciliated	Fas
Plasschaert et al	Epithelial	Ciliated	Ptges3
Plasschaert et al	Epithelial	Ciliated	Cluap1
Plasschaert et al	Epithelial	Ciliated	Bbs1
Plasschaert et al	Epithelial	Ciliated	D1Ertd622e
Plasschaert et al	Epithelial	Ciliated	Fam151b
Plasschaert et al	Epithelial	Ciliated	Ppp1r16a
Plasschaert et al	Epithelial	Ciliated	Cdkl2
Plasschaert et al	Epithelial	Ciliated	Usp18
Plasschaert et al	Epithelial	Ciliated	Gm12346
Plasschaert et al	Epithelial	Ciliated	Dynlt1f
Plasschaert et al	Epithelial	Ciliated	Ankrd32
Plasschaert et al	Epithelial	Ciliated	Kif21a
Plasschaert et al	Epithelial	Ciliated	Arl13b
Plasschaert et al	Epithelial	Ciliated	Arhgap18
Plasschaert et al	Epithelial	Ciliated	Pkig
Plasschaert et al	Epithelial	Ciliated	Arap1
Plasschaert et al	Epithelial	Ciliated	Ift27
Plasschaert et al	Epithelial	Ciliated	Cib1
Plasschaert et al	Epithelial	Ciliated	Lrrc6
Plasschaert et al	Epithelial	Ciliated	B3galt2
Plasschaert et al	Epithelial	Ciliated	Cdpf1
Plasschaert et al	Epithelial	Ciliated	Katnb1
Plasschaert et al	Epithelial	Ciliated	Tacc2
Plasschaert et al	Epithelial	Ciliated	Fam13a
Plasschaert et al	Epithelial	Ciliated	Ccp110
Plasschaert et al	Epithelial	Ciliated	4930404N11Rik
Plasschaert et al	Epithelial	Ciliated	Nat9
Plasschaert et al	Epithelial	Ciliated	Tcea3
Plasschaert et al	Epithelial	Ciliated	2010300C02Rik
Plasschaert et al	Epithelial	Ciliated	Paxip1
Plasschaert et al	Epithelial	Ciliated	Smad5
Plasschaert et al	Epithelial	Ciliated	Akna
Plasschaert et al	Epithelial	Ciliated	Lclat1
Plasschaert et al	Epithelial	Ciliated	Trp53inp1
Plasschaert et al	Epithelial	Ciliated	Prepl
Plasschaert et al	Epithelial	Ciliated	Gga1
Plasschaert et al	Epithelial	Ciliated	Mapre3
Plasschaert et al	Epithelial	Ciliated	Supt20
Plasschaert et al	Epithelial	Ciliated	Mst1
Plasschaert et al	Epithelial	Ciliated	Arl6
Plasschaert et al	Epithelial	Ciliated	Cep164
Plasschaert et al	Epithelial	Ciliated	Efcab1
Plasschaert et al	Epithelial	Ciliated	Fbxw9
Plasschaert et al	Epithelial	Ciliated	Sh3bp5
Plasschaert et al	Epithelial	Ciliated	Pibf1
Plasschaert et al	Epithelial	Ciliated	Ulk2
Plasschaert et al	Epithelial	Ciliated	Plk5
Plasschaert et al	Epithelial	Ciliated	Spice1
Plasschaert et al	Epithelial	Ciliated	Fam227a
Plasschaert et al	Epithelial	Ciliated	Spsb1
Plasschaert et al	Epithelial	Ciliated	Galnt6
Plasschaert et al	Epithelial	Ciliated	Pofut2
